multiplication type;launch count;matrix size;block size;timer;average time;absError;relError;
usual;3;100;64;clock();1.370633e-02;3.633046e-03;9.629873e-02%;
usual;3;100;64;clock();1.307600e-02;4.187509e-03;1.341024e-01%;
usual;3;100;64;clock();1.246100e-02;4.285506e-03;1.473843e-01%;
usual;3;100;64;clock();1.286500e-02;4.496447e-03;1.571553e-01%;
usual;3;100;64;clock();1.369600e-02;4.984083e-03;1.813747e-01%;
usual;3;100;64;clock();9.226000e-03;6.166506e-04;4.121591e-03%;
usual;3;100;64;clock();4.717000e-03;2.222611e-05;1.047276e-05%;
usual;3;100;64;clock();4.282000e-03;1.413459e-04;4.665733e-04%;
usual;3;100;64;clock();1.066667e-02;3.766286e-03;1.329836e-01%;
usual;3;100;64;clock();3.999333e-03;5.958978e-04;8.878835e-03%;
usual;3;100;64;clock();1.538933e-02;2.994771e-03;5.827836e-02%;
usual;3;1024;64;clock();1.106896e+01;1.097153e+00;1.087495e+01%;
usual;3;512;64;clock();1.043096e+00;7.052664e-02;4.768503e-01%;
usual;3;512;64;clock();5.045540e-01;7.457579e-02;1.102270e+00%;
usual;3;512;64;clock();9.955370e-01;1.095840e-01;1.206249e+00%;
usual;3;512;64;clock();9.756567e-01;9.474134e-02;9.199876e-01%;
usual;3;512;64;clock();5.496413e-01;1.310350e-01;3.123885e+00%;
usual;3;512;64;clock();5.291970e-01;1.002589e-01;1.899454e+00%;
usual;3;512;64;clock();2.723253e-01;8.845586e-02;2.873195e+00%;
usual;3;512;64;clock();2.822520e-01;7.630422e-02;2.062814e+00%;
usual;3;512;64;clock();2.989920e-01;7.552255e-02;1.907628e+00%;
usual;3;512;64;clock();2.605183e-01;8.694397e-02;2.901621e+00%;
